"coef","se","t_stat","prob","low_lim","up_lim","variable","dep_var","city_val"
-0.4722,0.1465,-3.2227,0.0014,-0.7594,-0.185,"grp1","Park_trip_pct","Atlanta"
0.4161,0.1694,2.4569,0.0146,0.0842,0.748,"grp3","Park_trip_pct","Atlanta"
0.0994,0.0903,1.101,0.2717,-0.0775,0.2763,"jobs","Park_trip_pct","Atlanta"
0.2254,0.0805,2.7989,0.0054,0.0676,0.3833,"walk_score","Park_trip_pct","Atlanta"
-0.0587,0.0699,-0.8404,0.4013,-0.1958,0.0783,"pct_dem","Park_trip_pct","Atlanta"
0.0764,0.1962,0.3895,0.6972,-0.3082,0.4611,"grp1:jobs","Park_trip_pct","Atlanta"
-0.0178,0.2128,-0.0835,0.9335,-0.4349,0.3994,"grp3:jobs","Park_trip_pct","Atlanta"
-0.087,0.1699,-0.5122,0.6089,-0.42,0.246,"grp1:walk_score","Park_trip_pct","Atlanta"
-0.0731,0.1601,-0.4565,0.6484,-0.3869,0.2407,"grp3:walk_score","Park_trip_pct","Atlanta"
-0.056,0.0654,-0.8571,0.3921,-0.1841,0.0721,"(Intercept)","Retail_trip_pct","Atlanta"
0.3043,0.1493,2.0384,0.0424,0.0117,0.5969,"grp1","Retail_trip_pct","Atlanta"
-0.0437,0.1725,-0.2532,0.8003,-0.3819,0.2945,"grp3","Retail_trip_pct","Atlanta"
-0.1073,0.092,-1.1668,0.2442,-0.2876,0.073,"jobs","Retail_trip_pct","Atlanta"
-0.2801,0.0821,-3.4132,0.0007,-0.4409,-0.1192,"walk_score","Retail_trip_pct","Atlanta"
0.0667,0.0712,0.9371,0.3494,-0.0728,0.2063,"pct_dem","Retail_trip_pct","Atlanta"
-0.1531,0.1999,-0.766,0.4443,-0.545,0.2387,"grp1:jobs","Retail_trip_pct","Atlanta"
-0.0443,0.2168,-0.2044,0.8382,-0.4693,0.3807,"grp3:jobs","Retail_trip_pct","Atlanta"
0.1471,0.1731,0.8499,0.396,-0.1921,0.4864,"grp1:walk_score","Retail_trip_pct","Atlanta"
-0.0193,0.1631,-0.1181,0.906,-0.339,0.3004,"grp3:walk_score","Retail_trip_pct","Atlanta"
0.0868,0.0646,1.3442,0.1798,-0.0398,0.2133,"(Intercept)","Health_trip_pct","Atlanta"
-0.0593,0.1475,-0.4021,0.6879,-0.3483,0.2297,"grp1","Health_trip_pct","Atlanta"
-0.2932,0.1704,-1.72,0.0864,-0.6272,0.0409,"grp3","Health_trip_pct","Atlanta"
-0.006,0.0909,-0.0666,0.947,-0.1841,0.172,"jobs","Health_trip_pct","Atlanta"
0.1607,0.0811,1.9827,0.0483,0.0018,0.3196,"walk_score","Health_trip_pct","Atlanta"
-0.0564,0.0704,-0.8023,0.423,-0.1943,0.0814,"pct_dem","Health_trip_pct","Atlanta"
-0.0292,0.1975,-0.1476,0.8827,-0.4163,0.358,"grp1:jobs","Health_trip_pct","Atlanta"
0.2772,0.2142,1.294,0.1966,-0.1427,0.697,"grp3:jobs","Health_trip_pct","Atlanta"
0.1851,0.171,1.0823,0.28,-0.1501,0.5202,"grp1:walk_score","Health_trip_pct","Atlanta"
-0.0733,0.1611,-0.4549,0.6495,-0.3891,0.2425,"grp3:walk_score","Health_trip_pct","Atlanta"
-0.0649,0.0555,-1.1691,0.243,-0.1738,0.0439,"(Intercept)","Trip_length","Boston"
0.3886,0.1227,3.1669,0.0017,0.1481,0.6291,"grp1","Trip_length","Boston"
-0.2356,0.1834,-1.2844,0.1997,-0.5951,0.1239,"grp3","Trip_length","Boston"
0.0887,0.0714,1.243,0.2146,-0.0512,0.2286,"jobs","Trip_length","Boston"
0.0101,0.06,0.1685,0.8663,-0.1075,0.1277,"walk_score","Trip_length","Boston"
0.0413,0.0468,0.8818,0.3784,-0.0505,0.133,"pct_dem","Trip_length","Boston"
0.02,0.1465,0.1364,0.8915,-0.2672,0.3072,"grp1:jobs","Trip_length","Boston"
0.0793,0.1421,0.5584,0.5769,-0.1991,0.3578,"grp3:jobs","Trip_length","Boston"
-0.0603,0.137,-0.4401,0.6601,-0.3288,0.2082,"grp1:walk_score","Trip_length","Boston"
0.0207,0.2214,0.0937,0.9254,-0.4132,0.4547,"grp3:walk_score","Trip_length","Boston"
0.0063,0.0534,0.1178,0.9063,-0.0983,0.1109,"(Intercept)","Dest_count","Boston"
0.1596,0.1179,1.3534,0.1767,-0.0715,0.3907,"grp1","Dest_count","Boston"
-0.3754,0.1763,-2.1296,0.0338,-0.7209,-0.0299,"grp3","Dest_count","Boston"
-0.1452,0.0686,-2.117,0.0348,-0.2796,-0.0108,"jobs","Dest_count","Boston"
-0.0535,0.0577,-0.9275,0.3542,-0.1665,0.0595,"walk_score","Dest_count","Boston"
-0.1171,0.045,-2.6042,0.0095,-0.2053,-0.029,"pct_dem","Dest_count","Boston"
0.3892,0.1408,2.764,0.006,0.1132,0.6653,"grp1:jobs","Dest_count","Boston"
0.2306,0.1365,1.6893,0.0919,-0.037,0.4982,"grp3:jobs","Dest_count","Boston"
-0.1952,0.1317,-1.4828,0.1389,-0.4532,0.0628,"grp1:walk_score","Dest_count","Boston"
-0.0574,0.2127,-0.2698,0.7874,-0.4744,0.3596,"grp3:walk_score","Dest_count","Boston"
0.0157,0.0571,0.2751,0.7834,-0.0962,0.1276,"(Intercept)","Park_trip_pct","Boston"
-0.4036,0.1261,-3.2004,0.0015,-0.6508,-0.1564,"grp1","Park_trip_pct","Boston"
0.1398,0.1885,0.7417,0.4587,-0.2297,0.5094,"grp3","Park_trip_pct","Boston"
0.1211,0.0733,1.6517,0.0993,-0.0226,0.2649,"jobs","Park_trip_pct","Boston"
0.0383,0.0617,0.6203,0.5354,-0.0826,0.1591,"walk_score","Park_trip_pct","Boston"
-0.0579,0.0481,-1.2044,0.2291,-0.1522,0.0363,"pct_dem","Park_trip_pct","Boston"
-0.0244,0.1506,-0.1618,0.8715,-0.3196,0.2708,"grp1:jobs","Park_trip_pct","Boston"
0.2523,0.146,1.7281,0.0847,-0.0339,0.5385,"grp3:jobs","Park_trip_pct","Boston"
-0.136,0.1408,-0.9659,0.3347,-0.412,0.14,"grp1:walk_score","Park_trip_pct","Boston"
-0.0444,0.2275,-0.1953,0.8453,-0.4904,0.4015,"grp3:walk_score","Park_trip_pct","Boston"
-0.072,0.0614,-1.1718,0.2419,-0.1924,0.0484,"(Intercept)","Retail_trip_pct","Boston"
0.0593,0.1357,0.4368,0.6625,-0.2067,0.3253,"grp1","Retail_trip_pct","Boston"
0.3937,0.2029,1.9403,0.053,-0.004,0.7914,"grp3","Retail_trip_pct","Boston"
-0.1367,0.0789,-1.732,0.084,-0.2914,0.018,"jobs","Retail_trip_pct","Boston"
-0.1769,0.0664,-2.6652,0.008,-0.307,-0.0468,"walk_score","Retail_trip_pct","Boston"
0.0436,0.0518,0.8418,0.4004,-0.0579,0.145,"pct_dem","Retail_trip_pct","Boston"
0.1293,0.1621,0.7975,0.4256,-0.1884,0.447,"grp1:jobs","Retail_trip_pct","Boston"
-0.0697,0.1571,-0.4439,0.6573,-0.3777,0.2382,"grp3:jobs","Retail_trip_pct","Boston"
0.1033,0.1515,0.6816,0.4959,-0.1937,0.4003,"grp1:walk_score","Retail_trip_pct","Boston"
-0.0208,0.2449,-0.085,0.9323,-0.5008,0.4591,"grp3:walk_score","Retail_trip_pct","Boston"
-0.0349,0.0539,-0.6468,0.5181,-0.1406,0.0708,"(Intercept)","Health_trip_pct","Boston"
-0.2758,0.1191,-2.3147,0.0211,-0.5093,-0.0423,"grp1","Health_trip_pct","Boston"
0.2674,0.1781,1.5014,0.134,-0.0817,0.6165,"grp3","Health_trip_pct","Boston"
0.0402,0.0693,0.5808,0.5617,-0.0956,0.176,"jobs","Health_trip_pct","Boston"
0.0913,0.0583,1.5674,0.1178,-0.0229,0.2055,"walk_score","Health_trip_pct","Boston"
-0.0508,0.0454,-1.1187,0.2639,-0.1399,0.0382,"pct_dem","Health_trip_pct","Boston"
-0.0826,0.1423,-0.5806,0.5618,-0.3615,0.1963,"grp1:jobs","Health_trip_pct","Boston"
-0.1666,0.1379,-1.208,0.2277,-0.4369,0.1037,"grp3:jobs","Health_trip_pct","Boston"
-0.0642,0.133,-0.4828,0.6295,-0.3249,0.1965,"grp1:walk_score","Health_trip_pct","Boston"
0.1288,0.2149,0.5992,0.5493,-0.2925,0.5501,"grp3:walk_score","Health_trip_pct","Boston"
0.0478,0.0239,1.9989,0.0457,0.0009,0.0946,"(Intercept)","Trip_length","Chicago"
0.5121,0.0603,8.4873,0,0.3939,0.6304,"grp1","Trip_length","Chicago"
-0.6498,0.0689,-9.4324,0,-0.7848,-0.5148,"grp3","Trip_length","Chicago"
0.0893,0.0424,2.1049,0.0354,0.0061,0.1724,"jobs","Trip_length","Chicago"
-0.1696,0.0247,-6.8662,0,-0.218,-0.1212,"walk_score","Trip_length","Chicago"
-0.0393,0.0197,-1.9935,0.0463,-0.078,-0.0007,"pct_dem","Trip_length","Chicago"
-0.1519,0.1146,-1.3254,0.1852,-0.3764,0.0727,"grp1:jobs","Trip_length","Chicago"
0.0656,0.0598,1.0969,0.2728,-0.0516,0.1829,"grp3:jobs","Trip_length","Chicago"
0.145,0.0566,2.5603,0.0105,0.034,0.256,"grp1:walk_score","Trip_length","Chicago"
-0.1606,0.0655,-2.4527,0.0143,-0.2889,-0.0323,"grp3:walk_score","Trip_length","Chicago"
0.0599,0.0229,2.6095,0.0091,0.0149,0.1048,"(Intercept)","Dest_count","Chicago"
0.3169,0.0579,5.4706,0,0.2033,0.4304,"grp1","Dest_count","Chicago"
-0.5979,0.0661,-9.0405,0,-0.7275,-0.4682,"grp3","Dest_count","Chicago"
-0.1737,0.0407,-4.2678,0,-0.2535,-0.0939,"jobs","Dest_count","Chicago"
-0.2819,0.0237,-11.8916,0,-0.3284,-0.2355,"walk_score","Dest_count","Chicago"
-0.2069,0.0189,-10.9237,0,-0.244,-0.1698,"pct_dem","Dest_count","Chicago"
-0.1842,0.11,-1.6751,0.0941,-0.3998,0.0313,"grp1:jobs","Dest_count","Chicago"
0.1984,0.0574,3.4543,0.0006,0.0858,0.311,"grp3:jobs","Dest_count","Chicago"
0.1081,0.0544,1.9878,0.047,0.0015,0.2147,"grp1:walk_score","Dest_count","Chicago"
-0.1769,0.0629,-2.8146,0.0049,-0.3001,-0.0537,"grp3:walk_score","Dest_count","Chicago"
-0.0924,0.0248,-3.721,0.0002,-0.1411,-0.0437,"(Intercept)","Park_trip_pct","Chicago"
-0.2835,0.0627,-4.522,0,-0.4064,-0.1606,"grp1","Park_trip_pct","Chicago"
0.6633,0.0716,9.2668,0,0.523,0.8036,"grp3","Park_trip_pct","Chicago"
0.1245,0.0441,2.8238,0.0048,0.0381,0.2109,"jobs","Park_trip_pct","Chicago"
0.0815,0.0257,3.1771,0.0015,0.0312,0.1318,"walk_score","Park_trip_pct","Chicago"
0.0389,0.0205,1.896,0.0581,-0.0013,0.079,"pct_dem","Park_trip_pct","Chicago"
-0.0235,0.119,-0.1977,0.8433,-0.2569,0.2098,"grp1:jobs","Park_trip_pct","Chicago"
-0.035,0.0622,-0.5631,0.5734,-0.1569,0.0869,"grp3:jobs","Park_trip_pct","Chicago"
-0.0846,0.0588,-1.4384,0.1505,-0.2,0.0307,"grp1:walk_score","Park_trip_pct","Chicago"
0.0156,0.068,0.2291,0.8188,-0.1178,0.1489,"grp3:walk_score","Park_trip_pct","Chicago"
0.0006,0.0275,0.0231,0.9816,-0.0533,0.0546,"(Intercept)","Retail_trip_pct","Chicago"
0.2161,0.0695,3.1113,0.0019,0.08,0.3522,"grp1","Retail_trip_pct","Chicago"
-0.2752,0.0793,-3.4706,0.0005,-0.4306,-0.1198,"grp3","Retail_trip_pct","Chicago"
-0.1083,0.0488,-2.2186,0.0266,-0.204,-0.0126,"jobs","Retail_trip_pct","Chicago"
-0.0866,0.0284,-3.0459,0.0023,-0.1423,-0.0309,"walk_score","Retail_trip_pct","Chicago"
-0.1346,0.0227,-5.9255,0,-0.1791,-0.0901,"pct_dem","Retail_trip_pct","Chicago"
-0.0243,0.1319,-0.184,0.8541,-0.2827,0.2342,"grp1:jobs","Retail_trip_pct","Chicago"
0.1314,0.0689,1.9073,0.0566,-0.0036,0.2664,"grp3:jobs","Retail_trip_pct","Chicago"
-0.0133,0.0652,-0.2034,0.8388,-0.141,0.1145,"grp1:walk_score","Retail_trip_pct","Chicago"
-0.016,0.0754,-0.2129,0.8315,-0.1637,0.1317,"grp3:walk_score","Retail_trip_pct","Chicago"
-0.0316,0.0252,-1.2515,0.2109,-0.081,0.0179,"(Intercept)","Health_trip_pct","Chicago"
-0.0732,0.0637,-1.1495,0.2505,-0.198,0.0516,"grp1","Health_trip_pct","Chicago"
0.0921,0.0727,1.2666,0.2055,-0.0504,0.2346,"grp3","Health_trip_pct","Chicago"
0.0046,0.0448,0.1027,0.9182,-0.0831,0.0923,"jobs","Health_trip_pct","Chicago"
0.0509,0.0261,1.9541,0.0508,-0.0002,0.102,"walk_score","Health_trip_pct","Chicago"
-0.0398,0.0208,-1.9111,0.0561,-0.0806,0.001,"pct_dem","Health_trip_pct","Chicago"
0.2497,0.1209,2.0653,0.039,0.0127,0.4867,"grp1:jobs","Health_trip_pct","Chicago"
0.0084,0.0632,0.1329,0.8943,-0.1154,0.1322,"grp3:jobs","Health_trip_pct","Chicago"
-0.0096,0.0598,-0.1603,0.8727,-0.1267,0.1076,"grp1:walk_score","Health_trip_pct","Chicago"
0.1241,0.0691,1.796,0.0726,-0.0113,0.2595,"grp3:walk_score","Health_trip_pct","Chicago"
-0.0184,0.0587,-0.3133,0.7542,-0.1334,0.0966,"(Intercept)","Trip_length","Denver"
0.6579,0.1265,5.2017,0,0.41,0.9058,"grp1","Trip_length","Denver"
-0.4215,0.1338,-3.1499,0.0017,-0.6837,-0.1592,"grp3","Trip_length","Denver"
0.033,0.0886,0.3727,0.7096,-0.1406,0.2066,"jobs","Trip_length","Denver"
0.0186,0.0702,0.2649,0.7912,-0.119,0.1562,"walk_score","Trip_length","Denver"
0.0452,0.0549,0.823,0.411,-0.0625,0.1529,"pct_dem","Trip_length","Denver"
0.2239,0.192,1.1664,0.2441,-0.1523,0.6001,"grp1:jobs","Trip_length","Denver"
-0.0324,0.1375,-0.2353,0.8141,-0.3019,0.2371,"grp3:jobs","Trip_length","Denver"
0.1103,0.1216,0.9068,0.365,-0.1281,0.3487,"grp1:walk_score","Trip_length","Denver"
-0.1268,0.1417,-0.8944,0.3716,-0.4046,0.151,"grp3:walk_score","Trip_length","Denver"
-0.0499,0.0541,-0.9231,0.3565,-0.1559,0.0561,"(Intercept)","Dest_count","Denver"
0.5761,0.1165,4.9432,0,0.3477,0.8046,"grp1","Dest_count","Denver"
-0.1861,0.1233,-1.5093,0.132,-0.4278,0.0556,"grp3","Dest_count","Denver"
-0.1439,0.0816,-1.7633,0.0786,-0.3039,0.0161,"jobs","Dest_count","Denver"
-0.0627,0.0647,-0.97,0.3326,-0.1895,0.064,"walk_score","Dest_count","Denver"
-0.1416,0.0506,-2.7969,0.0054,-0.2408,-0.0424,"pct_dem","Dest_count","Denver"
0.5942,0.1769,3.3589,0.0009,0.2475,0.9409,"grp1:jobs","Dest_count","Denver"
0.0592,0.1267,0.4673,0.6406,-0.1891,0.3075,"grp3:jobs","Dest_count","Denver"
-0.0614,0.1121,-0.548,0.584,-0.2811,0.1583,"grp1:walk_score","Dest_count","Denver"
-0.254,0.1306,-1.9449,0.0525,-0.51,0.002,"grp3:walk_score","Dest_count","Denver"
0.0582,0.0531,1.0954,0.274,-0.0459,0.1622,"(Intercept)","Park_trip_pct","Denver"
-0.5844,0.1144,-5.1072,0,-0.8087,-0.3601,"grp1","Park_trip_pct","Denver"
0.2234,0.1211,1.8458,0.0656,-0.0138,0.4607,"grp3","Park_trip_pct","Denver"
0.2778,0.0801,3.4661,0.0006,0.1207,0.4348,"jobs","Park_trip_pct","Denver"
-0.0032,0.0635,-0.05,0.9602,-0.1276,0.1213,"walk_score","Park_trip_pct","Denver"
-0.0161,0.0497,-0.3237,0.7463,-0.1135,0.0813,"pct_dem","Park_trip_pct","Denver"
-0.3777,0.1737,-2.1748,0.0302,-0.7181,-0.0373,"grp1:jobs","Park_trip_pct","Denver"
-0.0729,0.1244,-0.5859,0.5582,-0.3167,0.1709,"grp3:jobs","Park_trip_pct","Denver"
-0.0462,0.11,-0.4201,0.6746,-0.2619,0.1694,"grp1:walk_score","Park_trip_pct","Denver"
-0.2117,0.1282,-1.6509,0.0995,-0.463,0.0396,"grp3:walk_score","Park_trip_pct","Denver"
-0.0711,0.0598,-1.1885,0.2353,-0.1884,0.0462,"(Intercept)","Retail_trip_pct","Denver"
0.5574,0.1289,4.3228,0,0.3047,0.8101,"grp1","Retail_trip_pct","Denver"
-0.2049,0.1364,-1.5019,0.1339,-0.4723,0.0625,"grp3","Retail_trip_pct","Denver"
-0.1828,0.0903,-2.0245,0.0436,-0.3598,-0.0058,"jobs","Retail_trip_pct","Denver"
-0.0646,0.0715,-0.9023,0.3674,-0.2048,0.0757,"walk_score","Retail_trip_pct","Denver"
0.005,0.056,0.0894,0.9288,-0.1048,0.1148,"pct_dem","Retail_trip_pct","Denver"
0.3187,0.1957,1.6284,0.1042,-0.0649,0.7023,"grp1:jobs","Retail_trip_pct","Denver"
0.1398,0.1402,0.9974,0.3192,-0.1349,0.4146,"grp3:jobs","Retail_trip_pct","Denver"
-0.03,0.124,-0.2421,0.8088,-0.2731,0.213,"grp1:walk_score","Retail_trip_pct","Denver"
-0.0085,0.1445,-0.0586,0.9533,-0.2917,0.2748,"grp3:walk_score","Retail_trip_pct","Denver"
-0.0313,0.0577,-0.5422,0.588,-0.1444,0.0818,"(Intercept)","Health_trip_pct","Denver"
-0.1551,0.1244,-1.247,0.2131,-0.3989,0.0887,"grp1","Health_trip_pct","Denver"
0.2035,0.1316,1.5466,0.1227,-0.0544,0.4615,"grp3","Health_trip_pct","Denver"
-0.0163,0.0871,-0.187,0.8518,-0.1871,0.1545,"jobs","Health_trip_pct","Denver"
0.0413,0.069,0.5981,0.5501,-0.094,0.1766,"walk_score","Health_trip_pct","Denver"
-0.1186,0.054,-2.1946,0.0287,-0.2245,-0.0127,"pct_dem","Health_trip_pct","Denver"
0.0184,0.1888,0.0972,0.9226,-0.3517,0.3884,"grp1:jobs","Health_trip_pct","Denver"
0.132,0.1352,0.9761,0.3296,-0.1331,0.3971,"grp3:jobs","Health_trip_pct","Denver"
-0.075,0.1196,-0.6269,0.5311,-0.3095,0.1595,"grp1:walk_score","Health_trip_pct","Denver"
0.059,0.1394,0.4231,0.6724,-0.2143,0.3322,"grp3:walk_score","Health_trip_pct","Denver"
0.0463,0.0357,1.2986,0.1944,-0.0236,0.1162,"(Intercept)","Trip_length","Houston"
0.3998,0.0779,5.1338,0,0.2472,0.5525,"grp1","Trip_length","Houston"
-0.6781,0.0837,-8.1059,0,-0.8421,-0.5141,"grp3","Trip_length","Houston"
-0.046,0.0606,-0.7603,0.4473,-0.1647,0.0727,"jobs","Trip_length","Houston"
-0.0448,0.0411,-1.0909,0.2756,-0.1254,0.0357,"walk_score","Trip_length","Houston"
0.1115,0.0326,3.4204,0.0007,0.0476,0.1753,"pct_dem","Trip_length","Houston"
0.0043,0.143,0.0301,0.976,-0.276,0.2846,"grp1:jobs","Trip_length","Houston"
0.0146,0.0934,0.1568,0.8754,-0.1684,0.1977,"grp3:jobs","Trip_length","Houston"
0.1395,0.0769,1.8138,0.0701,-0.0112,0.2903,"grp1:walk_score","Trip_length","Houston"
-0.1065,0.0778,-1.3679,0.1717,-0.259,0.0461,"grp3:walk_score","Trip_length","Houston"
0.0086,0.0383,0.2237,0.8231,-0.0664,0.0836,"(Intercept)","Dest_count","Houston"
0.2736,0.0836,3.2743,0.0011,0.1098,0.4374,"grp1","Dest_count","Houston"
-0.4535,0.0898,-5.0522,0,-0.6295,-0.2776,"grp3","Dest_count","Houston"
-0.2625,0.065,-4.0396,0.0001,-0.3899,-0.1351,"jobs","Dest_count","Houston"
-0.1574,0.0441,-3.5696,0.0004,-0.2438,-0.071,"walk_score","Dest_count","Houston"
-0.2034,0.035,-5.8156,0,-0.2719,-0.1348,"pct_dem","Dest_count","Houston"
-0.0831,0.1534,-0.5418,0.5881,-0.3839,0.2176,"grp1:jobs","Dest_count","Houston"
0.0734,0.1002,0.7325,0.464,-0.123,0.2699,"grp3:jobs","Dest_count","Houston"
0.1311,0.0826,1.5876,0.1127,-0.0307,0.2929,"grp1:walk_score","Dest_count","Houston"
0.0143,0.0835,0.1716,0.8638,-0.1494,0.178,"grp3:walk_score","Dest_count","Houston"
